"aaa",1543,"heliocentric structure of the world, edition of 'On the Revolutions of the Celestial Spheres' (Mikołaj Copernicus - Poland).","Inventions","bbb"
"aaa",1509,"the oldest wall wallpaper discovered (Christ College in Cambridge - England).","Inventions","bbb"
"aaa",1510,"a spring watch - the oldest surviving example (Peter Henlein - Nuremberg)","Inventions","bbb"
"aaa",1510,"urinal (Italy - approximate time)","Inventions","bbb"
"aaa",1510,"a comma appears in the text (Aldo Manuzio - Italy - approximate time).","Inventions","bbb"
"aaa",1512,"the art of etching images (Albreht Dürer)","Inventions","bbb"
"aaa",1512,"the handkerchief is used as it stands (Italy - approximate time)","Inventions","bbb"
"aaa",1517,"wheel lock for firearms (Johann Kiefus - Germany)","Inventions","bbb"
"aaa",1517,"bidet (Leonardo da Vinci (?) - Italy - approximate time).","Inventions","bbb"
"aaa",1520,"the custom of decorating a Christmas tree (Alsace - Germany).","Inventions","bbb"
"aaa",1530,"improved pedal reel (Jürgen - Germany)","Inventions","bbb"
"aaa",1530,"wheel lock pistols (Italy, Germany).","Inventions","bbb"
"aaa",1535,"use of a diving bell (Lake Nemi - Italy).","Inventions","bbb"
"aaa",1540,"ether was obtained (Valerius Cordus - Germany).","Inventions","bbb"
"aaa",1545,"the first winter garden was built (Daniel Barbara - Italy).","Inventions","bbb"
"aaa",1550,"invention of shooting cartridges (time and place unknown)","Inventions","bbb"
"aaa",1556,"contemporary form of a corset (location unknown).","Inventions","bbb"
"aaa",1559,"the first book to have the word encyclopedia in the title (Pavao Skalicia - Switzerland).","Inventions","bbb"
"aaa",1560,"use of rails in mines (England).","Inventions","bbb"
"aaa",1565,"a pencil was constructed (Conrad Gessner - Switzerland).","Inventions","bbb"
"aaa",1567,"equipping the army with cartridge muskets (Spain).","Inventions","bbb"
"aaa",1569,"improved lathe with headstock and support prototype (Jaques Besson - France).","Inventions","bbb"
"aaa",1572,"square root method (Rafael Bombelli - Italy)","Inventions","bbb"
"aaa",1572,"discovery of supernova SN1572 (Tycho Brahe - Denmark).","Inventions","bbb"
"aaa",1572,"the oldest known Polish primer (Królewiec - Poland)","Inventions","bbb"
"aaa",1577,"log for measuring the speed of ships (W. Bourne).","Inventions","bbb"
"aaa",1582,"first use of tidal energy (Peter Morice - London)","Inventions","bbb"
"aaa",1582,"creation of the Gregorian calendar (Pope Gregory XIII).","Inventions","bbb"
"aaa",1583,"the world's first amusement park (park Bakken - Denmark).","Inventions","bbb"
"aaa",1588,"arrangement of a logarithmic table (published 1620 - Jost Bürgi - Switzerland)","Inventions","bbb"
"aaa",1588,"introduction of the Kartauna to the battlefields (Maurycy Orański - Holland).","Inventions","bbb"
"aaa",1589,"hand knitting machine for making stockings (William Lee - England)","Inventions","bbb"
"aaa",1590,"microscope (Zaharias Jansen - Netherlands).","Inventions","bbb"
"aaa",1594,"the first mechanical sawmill (Cornelis Corneliszoon - Netherlands)","Inventions","bbb"
"aaa",1596,"first flush toilet (John Harrington - England).","Inventions","bbb"
"aaa",1597,"air thermometer (Galileo - Italy).","Inventions","bbb"
"aaa",1600,"thermometer (Italy)","Inventions","bbb"
"aaa",1600,"a sail-propelled vehicle (Simon Stevin - Netherlands)","Inventions","bbb"
"aaa",1608,"telescope (Hans Lipperschey - Netherlands).","Inventions","bbb"
"aaa",1609,"the use of a telescope for astronomical research (Galileo - Italy).","Inventions","bbb"
"aaa",1610,"the first bookstore in Poland and Europe (Franciszek Jakub Mercenich - Poland).","Inventions","bbb"
"aaa",1616,"leaf spring (Fausto Veranzio - Italy).","Inventions","bbb"
"aaa",1618,"binoculars prototype (Galileo - Italy).","Inventions","bbb"
"aaa",1619,"a mask to protect against the plague (Charles de Lorme - France).","Inventions","bbb"
"aaa",1620,"carousel (probably Türkiye).","Inventions","bbb"
"aaa",1621,"slide rule (William Oughtred - England).","Inventions","bbb"
"aaa",1623,"arithmometer (Wilhelm Schickard - Germany).","Inventions","bbb"
"aaa",1624,"prototype of the submarine (Cornelius J. Drebbel - England).","Inventions","bbb"
"aaa",1631,"the beginnings of the press - the first newspapers - (Cardinal Richelieu - France)","Inventions","bbb"
"aaa",1631,"vernier (Pierre Vernier - France).","Inventions","bbb"
"aaa",1637,"prototype of the periscope (Jan Heweliusz - Poland).","Inventions","bbb"
"aaa",1640,"method of obtaining coke from coal (Daniel Stumpfelt - Germany).","Inventions","bbb"
"aaa",1641,"air pump (Otto von Guericke - Germany).","Inventions","bbb"
"aaa",1642,"arithmometer (Blaise Pascal - France)","Inventions","bbb"
"aaa",1642,"mercury barometer (Evangelista Torricelli - Italy).","Inventions","bbb"
"aaa",1645,"roulette was invented (Blaise Pascal - France).","Inventions","bbb"
"aaa",1655,"fire engine with air chamber (Hans Hautsch - Germany)","Inventions","bbb"
"aaa",1655,"micrometer (Robert Hooke - England).","Inventions","bbb"
"aaa",1657,"pendulum clock (Christian Huygens - Netherlands).","Inventions","bbb"
"aaa",1660,"uniform pressure distribution in the liquid (Blaise Pascal - France).","Inventions","bbb"
"aaa",1661,"pressure gauge (Otto von Guericke - Germany)","Inventions","bbb"
"aaa",1661,"creation of the concept of chemical elements (Robert Boyle - England).","Inventions","bbb"
"aaa",1662,"the first catamaran in Europe was launched (William Petty - Ireland)","Inventions","bbb"
"aaa",1662,"bus on regular lines (Blaise Pascal - France).","Inventions","bbb"
"aaa",1663,"the phenomenon of electric current (Otto von Guericke - Germany)","Inventions","bbb"
"aaa",1663,"electrostatic machine (Otto von Guericke - Germany).","Inventions","bbb"
"aaa",1666,"improved mathematical machine for four operations (Wilhelm Leibniz - Germany).","Inventions","bbb"
"aaa",1667,"powdered cocoa (Brothers Van Houten - Holland)","Inventions","bbb"
"aaa",1667,"anemometer (Robert Hooke - England).","Inventions","bbb"
"aaa",1668,"reflecting telescope (Isaac Newton - England)","Inventions","bbb"
"aaa",1668,"streets are lit up in London.","Inventions","bbb"
"aaa",1673,"pendulum to regulate the movement of the clock (Christiaan Huygens - Holland).","Inventions","bbb"
"aaa",1679,"autoclave (Denis Papin - France).","Inventions","bbb"
"aaa",1680,"a three-wheeled vehicle powered by muscles (Stephan Farfler - Germany)","Inventions","bbb"
"aaa",1680,"the first steel-bladed razor (Sheffield, England)","Inventions","bbb"
"aaa",1681,"steam boiler with safety valve (Denis Papin - France).","Inventions","bbb"
"aaa",1682,"discovery of heat rays (Edme Mariotte - France).","Inventions","bbb"
"aaa",1687,"elevator operating on the principle of counterweights (Erhard Weigel - Germany)","Inventions","bbb"
"aaa",1687,"Isaac Newton's ""Mathematical Principles of Natural Philosophy"" (Principia) was published in Latin.","Inventions","bbb"
"aaa",1688,"steam engine (Denis Papin - France).","Inventions","bbb"
"aaa",1689,"centrifugal pump (Denis Papin - France).","Inventions","bbb"
"aaa",1690,"discovery of the polarization of light (Christiaan Huygens - Netherlands)","Inventions","bbb"
"aaa",1690,"improvement of the diving bell (Edmund Halley - England).","Inventions","bbb"
